Test Value One,Test Value Two,Euclid GCD solution, Euclid Time, Exhaustive GCD solution, Exhaustive GCD Time
7,5,null,195049,null,33286
11,10,null,6388,null,36369
22,20,2,6372,2,73982
48,40,8,5633,8,352409
74,103,null,11091,null,1867527
234,218,2,5906,2,1258571
469,429,null,3552,null,181474
794,512,2,3747,2,2502823
1134,1748,2,3519,2,538796
3417,3577,null,2871,null,1439985
7287,6698,null,9740,null,11621339
12787,13040,null,2430,null,11870227
30516,30424,4,1648,4,6217183
38945,61127,null,2698,null,14982183
117624,129020,4,1749,4,28904769
146864,207929,null,2558,null,39367533
522804,361592,4,5221,4,60985990
942980,554278,2,4441,2,80940605
1395710,1265229,null,6479,null,132957306
2945252,2280764,4,2445,4,264667328
5038994,5841952,2,3222,2,528091216
15762792,14928943,null,3059,null,1537603356
21559572,24144200,4,2405,4,2331855171
47386109,39668015,null,3272,null,4510000049
100398263,69098547,7,330149,7,8753140722
260567666,146232611,null,25128,null,21010927422
279384290,338537867,null,1765,null,33098177689
Test Value One,Test Value Two,Euclid GCD solution, Euclid Time, Exhaustive GCD solution, Exhaustive GCD Time
7,7,7,189455,7,42942
8,14,2,7687,2,38145
17,22,null,8998,null,62145
51,55,null,9314,null,375112
64,110,2,11340,2,1803553
164,156,4,4493,4,1260596
476,461,null,3163,null,191861
936,626,2,3029,2,2609711
1829,1137,null,3342,null,539680
2606,4073,null,3865,null,1336468
7891,7676,null,3640,null,8953220
13282,15159,null,9282,null,11565929
22244,24714,2,1920,2,5283698
42993,58119,3,2254,3,14143674
120867,123419,null,2043,null,24857712
237003,250847,null,2899,null,46167045
345329,390479,null,4816,null,40431217
790981,824616,null,2495,null,100075807
1374414,1721609,null,3603,null,147544017
3804184,3745517,null,3024,null,363334557
7424342,6908198,2,3209,2,718176355
15310739,13641525,null,3020,null,1504173809
18137539,21403449,null,3321,null,2042189949
51052544,43346831,null,2919,null,4788822947
67997042,75876611,null,200337,null,7521097542
195532098,252307889,null,22661,null,23497019287
512195101,298993294,null,1631,null,41473472901
674975985,949328275,5,2008,5,85037048723
1548065734,1409228814,2,44319,2,153787316424
